0	112467	-176644	176644
1	0.0495341	-0.0137937	0.0137937
2	0.76333	-0.160704	0.160704
3	4.06429e-10	-0.0425876	0.0425876
4	0.0235307	1	-1
5	0.723629	1	-1
6	0.0469841	1	-1
7	0.00866434	1	-1
8	0.037	1	-1
9	0	1	-1
10	0.00343823	1	-1
11	0.141	1	-1
12	0	1	-1
13	0.0172867	1	-1
14	0.826696	1	-1
15	0.00468701	1	-1
16	0.00608024	1	-1
17	0.0287	1	-1
18	0	1	-1
19	0.00183372	1	-1
20	0.088	1	-1
21	0	1	-1
22	0.0118957	1	-1
23	0.605847	1	-1
24	0.0083252	1	-1
25	0.00328506	1	-1
26	0.0111	1	-1
27	0	1	-1
28	0.000256341	1	-1
29	0.1039	1	-1
30	0	1	-1
31	0.000539834	1	-1
32	0.0199	1	-1
33	0	1	-1
34	0.000118487	1	-1
35	0.6199	1	-1
36	88.0483	-141.27	141.27
37	6.35687	-10.4061	10.4061
38	8.77498e-08	-0.135729	0.135729
39	0	1	-1
40	0	1	-1
35	0.6476	1	-1
